object,tier,smooth_slice_standard_B4,non_ribbon,exact_weaker_status,verdict,primary_sources
18nh00000601,A,PROVED,UNKNOWN,"fibered; handle-ribbon",PRIMARY CANDIDATE,"S01;S02;S03"
GST Figure 2 band sum B_3_1,A,PROVED,UNKNOWN,"explicit GST handle/belt-sphere disk",LIVE,"S04;S05;S16"
fixed GST band sum B_n_k_b,A,PROVED,UNKNOWN,"depends on fixed band; handle-theoretic disk",LIVE TOO BROAD UNTIL FIXED,"S04;S05;S14"
annulus twist A_j(J) from fixed ribbon annulus presentation,A,PROVED,UNKNOWN,"smoothly slice; subfamily-specific",SCHEMA ONLY,"S05"
A_n(6_3)#(-A_m(6_3)),B,UNKNOWN,PROVED for permitted distinct pair,"fibered signed connected sum",WEAK LIVE,"S06;S07"
Hom-Park Corollary 1.3 P-sum,B,UNKNOWN,PROVED,"algebraically slice; gamma_0-sharp hypotheses",WEAK LIVE,"S08"
Abe-Tange 8_20 family n>=0,CLOSED,PROVED,DISPROVED because ribbon,ribbon,CLOSED,"S05"
r0 RBG pair K_BG(0 0 0 1 2 -1),A-GENERATOR,UNKNOWN (either knot ribbon => partner slice in std B4),UNKNOWN,"r=0 diffeomorphic traces",LIVE GENERATOR,"S25;S26"
r0 RBG pair K_BG(0 0 0 -1 2 1),A-GENERATOR,UNKNOWN,UNKNOWN,"r=0 diffeomorphic traces",LIVE GENERATOR,"S25;S26"
r0 RBG pair K_BG(0 0 -2 0 0 1),A-GENERATOR,UNKNOWN,UNKNOWN,"r=0 diffeomorphic traces",LIVE GENERATOR,"S25;S26"
(10_17)_{2 1} Miyazaki cable,B,UNKNOWN (strongly rationally slice),PROVED (Miyazaki Ex 2),"fibered neg-amphicheiral cable; all Floer/s invariants vanish",LIVE ROUTE B,"S23;S24"
K_{p q}#-T_{p q} for K in {6_3 8_12 8_17 10_17} outside (2 odd),B,UNKNOWN,PROVED (Miyazaki Thm 8.6),"strongly rationally slice",LIVE ROUTE B,"S23"
Gompf-Miyazaki Prop 3.1 pair,B,UNKNOWN,PROVED,"same 0-surgery pair",WEAK LIVE (Miller-Piccirillo unchecked),"S29;S28"
all cables of 4_1,CLOSED,DISPROVED (not slice),PROVED,not slice,CLOSED,"S23;S24"
